held_out_subject,fs_method,fs_scoring,base_estimator,n_train_windows,n_test_windows,n_selected_features,fs_selection_mode,balanced_accuracy,f1,precision,recall,roc_auc
ID1,rfe,recall,logreg,28047,3727,6,metric_stop,0.6335033101829868,0.40476190476190477,0.544,0.3222748815165877,0.6854013935140224
ID10,rfe,recall,logreg,30529,1245,5,metric_stop,0.5,0.0,0.0,0.0,0.3831474407944996
ID11,rfe,recall,logreg,31150,624,16,metric_stop,0.8030036338859868,0.7531380753138075,0.989010989010989,0.6081081081081081,0.8712809448103567
ID12,rfe,recall,logreg,29082,2692,7,metric_stop,0.7706367162249514,0.36778846153846156,0.22633136094674555,0.9807692307692307,0.9359082094376211
ID13a,rfe,recall,logreg,30624,1150,5,metric_stop,0.7475277989983873,0.4878048780487805,0.34934497816593885,0.8080808080808081,0.7912422544775486
ID13b,rfe,recall,logreg,30877,897,5,metric_stop,0.6502502640400423,0.4254742547425474,0.2828828828828829,0.8579234972677595,0.7558509742694892
ID14a,rfe,recall,logreg,29501,2273,23,metric_stop,0.5866922658541085,0.739294710327456,0.6328840970350404,0.8887206661619985,0.6599548979319206
ID14b,rfe,recall,logreg,29635,2139,5,metric_stop,0.6365207135485773,0.4578441835645678,0.955456570155902,0.30105263157894735,0.7643628679541992
ID15,rfe,recall,logreg,30815,959,5,metric_stop,0.7518007202881152,0.6401766004415012,0.6971153846153846,0.5918367346938775,0.7767449837077688
ID16,rfe,recall,logreg,29986,1788,18,metric_stop,0.7263655462184874,0.5718475073313783,0.6055900621118012,0.5416666666666666,0.6801995798319328
ID2,rfe,recall,logreg,30221,1553,9,metric_stop,0.6668123156084397,0.6074411541381929,0.5586592178770949,0.6655574043261231,0.6984839692948727
ID4a,rfe,recall,logreg,29577,2197,9,metric_stop,0.4678023751873631,0.3254861821903787,0.22347153900210823,0.5988700564971752,0.4387913357433369
ID4b,rfe,recall,logreg,29710,2064,22,metric_stop,0.4929041968546213,0.23796548592188918,0.18634423897581792,0.32914572864321606,0.5458429602996977
ID5,rfe,recall,logreg,28724,3050,13,metric_stop,0.5492537313432836,0.1793478260869565,1.0,0.09850746268656717,0.7944656967264518
ID6,rfe,recall,logreg,30427,1347,10,metric_stop,0.7657350281884906,0.6547743966421826,0.5591397849462365,0.789873417721519,0.8008536325922775
ID7,rfe,recall,logreg,31275,499,31,metric_stop,0.8539002557544757,0.3333333333333333,0.20618556701030927,0.8695652173913043,0.9402630617464377
ID8,rfe,recall,logreg,31220,554,22,metric_stop,0.8388009049773756,0.7769784172661871,0.8852459016393442,0.6923076923076923,0.9308608058608059
ID9,rfe,recall,logreg,28758,3016,10,metric_stop,0.5620589196777108,0.41647385469689957,0.34965034965034963,0.5148741418764302,0.5982090776814158
