accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp,fold,held_out_subject,n_train_rows,n_test_rows,n_train_subjects,n_test_subjects,n_features_used,positive_rate_train,positive_rate_test
0.8009122618728199,0.5282501626242915,0.28627450980392155,0.11532385466034756,0.16441441441441443,0.5663489238203484,0.2471176865721981,2912,182,560,73,1,ID1,28047,3727,17,1,6,0.2787107355510393,0.16984169573383417
0.9726907630522088,0.7342627960275019,0.8387096774193549,0.4727272727272727,0.6046511627906976,0.8835446906035141,0.6909537247454544,1185,5,29,26,2,ID10,30529,1245,17,1,5,0.27498444102328934,0.04417670682730924
0.9358974358974359,0.8648648648648649,1.0,0.7297297297297297,0.84375,0.8627356347944584,0.8460253490516092,476,0,40,108,3,ID11,31150,624,17,1,16,0.2665168539325843,0.23717948717948717
0.8525260029717682,0.7453215901745314,0.408207343412527,0.6057692307692307,0.48774193548387096,0.8281115330747684,0.6001110200472672,2106,274,123,189,4,ID12,29082,2692,17,1,7,0.2798294477683791,0.11589895988112928
0.7373913043478261,0.6313820982938629,0.32068965517241377,0.4696969696969697,0.38114754098360654,0.6815184407096173,0.4125014710406357,755,197,105,93,5,ID13a,30624,1150,17,1,5,0.2694618599791014,0.17217391304347826
0.5518394648829431,0.6636244661799146,0.2937853107344633,0.8524590163934426,0.4369747899159664,0.6621397192756884,0.2759000989227742,339,375,27,156,6,ID13b,30877,897,17,1,5,0.2677397415552029,0.2040133779264214
0.7276726792784866,0.7177339709540137,0.7588495575221239,0.7789553368660106,0.768771012327232,0.7989153079854198,0.8598491558582418,625,327,292,1029,7,ID14a,29501,2273,17,1,23,0.24165282532795498,0.5811702595688517
0.4474053295932679,0.5775762936753649,0.9233449477351916,0.18596491228070175,0.30957943925233644,0.6828030861467393,0.817980041392594,692,22,1160,265,8,ID14b,29635,2139,17,1,5,0.23705078454530115,0.6661991584852734
0.835245046923879,0.7472589035614245,0.7277486910994765,0.5673469387755102,0.6376146788990825,0.833696335677128,0.6956844703985945,662,52,106,139,9,ID15,30815,959,17,1,5,0.2662664286873276,0.25547445255474455
0.8993288590604027,0.7541549953314659,0.9787234042553191,0.5111111111111111,0.6715328467153284,0.9293504901960785,0.8724435646468698,1424,4,176,184,10,ID16,29986,1788,17,1,18,0.2697925698659374,0.20134228187919462
0.6278171281390856,0.5835494763629245,0.5259593679458239,0.3876871880199667,0.446360153256705,0.7406318600651575,0.62433209981472,742,210,368,233,11,ID2,30221,1553,17,1,9,0.25972006220839816,0.38699291693496457
0.7023213472917615,0.5516121702918455,0.3458646616541353,0.2598870056497175,0.2967741935483871,0.582709354928412,0.2990662759419671,1405,261,393,138,12,ID4a,29577,2197,17,1,9,0.26774182641917704,0.24169321802457897
0.7708333333333334,0.5998796503526034,0.3867069486404834,0.32160804020100503,0.3511659807956104,0.7127406238877461,0.3920808125997887,1463,203,270,128,13,ID4b,29710,2064,17,1,22,0.27101985863345673,0.1928294573643411
0.7875409836065573,0.5164179104477612,1.0,0.03283582089552239,0.06358381502890173,0.8207619465696726,0.6976041948557437,2380,0,648,22,14,ID5,28724,3050,17,1,13,0.2708536415541011,0.21967213114754097
0.8351893095768375,0.7952704499521328,0.7282321899736148,0.6987341772151898,0.7131782945736435,0.8919410169130945,0.8321485752500327,849,103,119,276,15,ID6,30427,1347,17,1,10,0.2647319814638315,0.29324424647364516
0.9559118236472945,0.5217391304347826,1.0,0.043478260869565216,0.08333333333333333,0.7442455242966752,0.4400309672726872,476,0,22,1,16,ID7,31275,499,17,1,31,0.2694484412470024,0.04609218436873747
0.9205776173285198,0.717948717948718,1.0,0.4358974358974359,0.6071428571428571,0.9426443654384831,0.8846926617281544,476,0,44,34,17,ID8,31220,554,17,1,22,0.2681614349775785,0.1407942238267148
0.6578249336870027,0.5860505910983768,0.4106334841628959,0.41533180778032036,0.4129692832764505,0.6282831973369057,0.4109992574269523,1621,521,511,363,18,ID9,28758,3016,17,1,10,0.2634397385075457,0.28978779840848806
