held_out_subject,n_train,n_test,accuracy,roc_auc,positive_rate_test
ID1,28047,3727,0.845452106251677,0.5919953107017506,0.16984169573383417
ID10,30529,1245,0.951004016064257,0.9219327731092437,0.04417670682730924
ID11,31150,624,0.9198717948717948,0.9046459800136271,0.23717948717948717
ID12,29082,2692,0.7069093610698366,0.863176039646628,0.11589895988112928
ID13a,30624,1150,0.7234782608695652,0.710821449792038,0.17217391304347826
ID13b,30877,897,0.7725752508361204,0.9219092008388055,0.2040133779264214
ID14a,29501,2273,0.6357237131544214,0.7480208207431345,0.5811702595688517
ID14b,29635,2139,0.6372136512388967,0.7013946631284094,0.6661991584852734
ID15,30815,959,0.45776850886339937,0.7322300348710913,0.25547445255474455
ID16,29986,1788,0.9312080536912751,0.9406580687830687,0.20134228187919462
ID2,30221,1553,0.7701223438506117,0.9055679260056768,0.38699291693496457
ID4a,29577,2197,0.7305416477014111,0.6134888983842124,0.24169321802457897
ID4b,29710,2064,0.7306201550387597,0.6943526154180266,0.1928294573643411
ID5,28724,3050,0.820327868852459,0.7248140599523392,0.21967213114754097
ID6,30427,1347,0.7847067557535263,0.9591559408573556,0.29324424647364516
ID7,31275,499,0.9258517034068137,0.8609335038363171,0.04609218436873747
ID8,31220,554,0.9025270758122743,0.8164458090928679,0.1407942238267148
ID9,28758,3016,0.8173076923076923,0.7676004803141698,0.28978779840848806
